mode,slack,strictly_positive
4628,134785766525254561944653/20686468837500000000000000000,true
4631,471169543487/124118813025000000,true
4634,71696554639214699161962141/7661655125000000000000000000000,true
4637,83167802038992493357891/4964752521000000000000000000,true
4640,596079597977/248237626050000000,true
4643,21555213156716422999740555427/1654917507000000000000000000000000,true
4646,337205550885231428962139/41372937675000000000000000000,true
4649,1724948850409/496475252100000000,true
4652,19358016773138683458030458033/4964752521000000000000000000000000,true
4655,496374243550342933382231/62059406512500000000000000000,true
4658,1544992349251/496475252100000000,true
4661,7978479866747284186949012767/992950504200000000000000000000000,true
4664,1108666947608480344639253/124118813025000000000000000000,true
4667,334509590203/165491750700000000,true
4670,47148020707974461288374135009/4964752521000000000000000000000000,true
4673,1107798953625852882645901/124118813025000000000000000000,true
4676,644267692607/99295050420000000,true
4679,26881224777467841969170294591/4964752521000000000000000000000000,true
4682,1165614425243663012923469/124118813025000000000000000000,true
4685,220371663383/124118813025000000,true
4688,22502562091672556316038500523/1654917507000000000000000000000000,true
4691,220223333709524326394311/13790979225000000000000000000,true
4694,1204835675557/496475252100000000,true
4697,4893254756761651740231720151/413729376750000000000000000000000,true
4700,733354179702665989947269/124118813025000000000000000000,true
4703,3082280372489/496475252100000000,true
4706,3850033451177144617258072939/551639169000000000000000000000000,true
4709,343416332957771042725013/62059406512500000000000000000,true
4712,568479439433/124118813025000000,true
4715,8729557105465122470513203789/827458753500000000000000000000000,true
4718,104657672166022241481053/7757425814062500000000000000,true
4721,286534313251/165491750700000000,true
4724,127511713728424765720916150809/4964752521000000000000000000000000,true
4727,711820552505527765323463/124118813025000000000000000000,true
4730,119038150481/31029703256250000,true
4733,10199418579666538777663528831/2482376260500000000000000000000000,true
4736,42929928638908644974491/5171617209375000000000000000,true
4739,1631263092791/496475252100000000,true
4742,238977349435637349723923473/17238724031250000000000000000000,true
4745,190102466930144930713211/20686468837500000000000000000,true
4748,20423043631/8274587535000000,true
4751,360240639293003455916061251/27581958450000000000000000000000,true
4754,212009356570634113454621/15514851628125000000000000000,true
4757,469111435297/165491750700000000,true
4760,6409605911623917516788977429/992950504200000000000000000000000,true
4763,30032479324119615157247/4964752521000000000000000000,true
4766,979838864599/496475252100000000,true
4769,16933172323765465739197163287/413729376750000000000000000000000,true
4772,1213694443429696140744959/124118813025000000000000000000,true
4775,850048488593/496475252100000000,true
4778,16206303447610403611233557549/992950504200000000000000000000000,true
4781,11249838809950744109563/775742581406250000000000000,true
4784,1026126893513/99295050420000000,true
4787,44153213005473237663637513/6464521511718750000000000000000,true
4790,1214988693760866786687193/124118813025000000000000000000,true
4793,1549925113433/496475252100000000,true
4796,31194461056604179585072526443/2482376260500000000000000000000000,true
4799,470035876448444141651797/31029703256250000000000000000,true
4802,1203711567487/496475252100000000,true
4805,20492279956353793393225776679/1654917507000000000000000000000000,true
4808,45366939022986377314207/7757425814062500000000000000,true
4811,1469254761257/496475252100000000,true
4814,14847301760038099933761509557/2482376260500000000000000000000000,true
4817,423512412383336774426897/62059406512500000000000000000,true
4820,471227597113/248237626050000000,true
4823,30503088494202675699025760863/1654917507000000000000000000000000,true
4826,109060415303264142841217/12411881302500000000000000000,true
4829,42130626151/13790979225000000,true
4832,19687897636664714789762954621/2482376260500000000000000000000000,true
4835,318221172805945238669713/31029703256250000000000000000,true
4838,471327326947/165491750700000000,true
4841,1072760688944468113816126261/183879723000000000000000000000000,true
4844,512465453204162257721/51716172093750000000000000,true
4847,218550823649/124118813025000000,true
4850,3649673116925519064563423959/310297032562500000000000000000000,true
4853,160766874214952054446219/6895489612500000000000000000,true
4856,954676248661/496475252100000000,true
4859,4137456029715666819448532389/275819584500000000000000000000000,true
4862,5391074220561491422811/551639169000000000000000000,true
4865,27648008407/6129324100000000,true
4868,6273856951273296536375303173/992950504200000000000000000000000,true
4871,28526406641618829856403/4964752521000000000000000000,true
4874,128259904109/24823762605000000,true
4877,8287394464990644850756641889/827458753500000000000000000000000,true
4880,589359210181641834943951/31029703256250000000000000000,true
4883,901313752061/496475252100000000,true
4886,7170220202452761418007927/606048891723632812500000000000,true
4889,689631509127051966807407/124118813025000000000000000000,true
4892,1880218350299/496475252100000000,true
4895,24439068202368099050630493983/4964752521000000000000000000000000,true
4898,1600540295557428312476933/124118813025000000000000000000,true
4901,806120868017/248237626050000000,true
4904,879170600335251271001000657/99295050420000000000000000000000,true
4907,432514600347465390262249/41372937675000000000000000000,true
4910,201258780073/99295050420000000,true
4913,30855320933838037364796826129/4964752521000000000000000000000000,true
4916,13087385317477386458753/919398615000000000000000000,true
4919,3297324730513/496475252100000000,true
4922,165760004540127875220652351/33098350140000000000000000000000,true
4925,348226726074887822030387/62059406512500000000000000000,true
4928,397187671589/165491750700000000,true
4931,504978144283432577516347697/38787129070312500000000000000000,true
4934,256708341229519256473681/31029703256250000000000000000,true
4937,500095384351/248237626050000000,true
4940,34944116601068032829930538571/2482376260500000000000000000000000,true
4943,184509084382211426584601/24823762605000000000000000000,true
4946,995940397577/248237626050000000,true
4949,6358871951335210833753514991/1241188130250000000000000000000000,true
4952,721392473612850763198033/124118813025000000000000000000,true
4955,1120968005159/124118813025000000,true
4958,1251742793478090163781165401/165491750700000000000000000000000,true
4961,1626057147401443090312991/124118813025000000000000000000,true
4964,513635882579/248237626050000000,true
4967,76331727670603603479401489/3064662050000000000000000000000,true
4970,277972116202634595208273/41372937675000000000000000000,true
4973,353482148251/124118813025000000,true
4976,17296378557814211336512097189/4964752521000000000000000000000000,true
4979,174228316803068457137903/15514851628125000000000000000,true
4982,579544150591/248237626050000000,true
4985,20608473349676261330083360993/1654917507000000000000000000000000,true
4988,576204141726408180394691/62059406512500000000000000000,true
4991,603670731169/248237626050000000,true
4994,484757491656015489693452947/68954896125000000000000000000000,true
4997,1416979275628063282986061/124118813025000000000000000000,true
5000,565521950531/165491750700000000,true
5003,3336090532606277273849900009/551639169000000000000000000000000,true
5006,713913019545418708259003/124118813025000000000000000000,true
5009,1039578912383/496475252100000000,true
5012,120676548897494660872222401379/4964752521000000000000000000000000,true
5015,860948985478400239398709/62059406512500000000000000000,true
5018,878157905711/496475252100000000,true
5021,13222976873968907258365363529/620594065125000000000000000000000,true
5024,278716851724690038455447/15514851628125000000000000000,true
5027,388087807733/55163916900000000,true
5030,482356713696265294009428193/99295050420000000000000000000000,true
5033,4378450120411265846231/689548961250000000000000000,true
5036,86884977377/24823762605000000,true
5039,11411290352161980799526067113/1241188130250000000000000000000000,true
5042,6925884439467366081473/258580860468750000000000000,true
5045,927861768749/496475252100000000,true
5048,44781761114856326678080148951/2482376260500000000000000000000000,true
5051,719791957865091992177677/124118813025000000000000000000,true
5054,54078349727/16549175070000000,true
5057,530000848579509626752876061/99295050420000000000000000000000,true
5060,703990076103195734682479/124118813025000000000000000000,true
5063,1429395401741/496475252100000000,true
5066,21322896728270572783047481799/1654917507000000000000000000000000,true
5069,639071000612391974749229/41372937675000000000000000000,true
5072,85752082357/33098350140000000,true
5075,55407242658649786810210416949/4964752521000000000000000000000000,true
5078,74821605272988527728073/8274587535000000000000000000,true
5081,789503498827/165491750700000000,true
5084,268153467147263543284739089/62059406512500000000000000000000,true
5087,45879699086643032142853/7757425814062500000000000000,true
5090,108510537143/55163916900000000,true
5093,35347522258186702519035425237/1654917507000000000000000000000000,true
5096,131995729467189675601367/6895489612500000000000000000,true
5099,259917817901/124118813025000000,true
5102,5487397099704727983915908077/330983501400000000000000000000000,true
5105,118264044473583759769609/15514851628125000000000000000,true
5108,2027284594427/496475252100000000,true
5111,43486138750178946532399634749/4964752521000000000000000000000000,true
5114,733867861323102071884717/124118813025000000000000000000,true
5117,1367284217791/496475252100000000,true
5120,2342313480130413692828689927/310297032562500000000000000000000,true
5123,287509714034312484720511/24823762605000000000000000000,true
5126,204227014163/99295050420000000,true
5129,7618845797589480566847468119/551639169000000000000000000000000,true
5132,9937231691633031032369/1379097922500000000000000000,true
5135,242412481751/99295050420000000,true
5138,8356977700564882558233184799/2482376260500000000000000000000000,true
5141,10388646762823600185397/1379097922500000000000000000,true
5144,138449829907/55163916900000000,true
5147,46883757589010251877885829937/4964752521000000000000000000000000,true
5150,457132923250727199722221/41372937675000000000000000000,true
5153,154124836783/82745875350000000,true
5156,1191678462875671212334803059/183879723000000000000000000000000,true
5159,1220157026609831707165271/124118813025000000000000000000,true
5162,1843906801387/496475252100000000,true
5165,18138842106969579860792299603/2482376260500000000000000000000000,true
5168,923393938748753652055667/124118813025000000000000000000,true
5171,217879846063/99295050420000000,true
5174,74623455675859072528245452311/4964752521000000000000000000000000,true
5177,285488928909183666307913/24823762605000000000000000000,true
5180,71934625621/31029703256250000,true
5183,9537493565370027487312718323/992950504200000000000000000000000,true
5186,217292723952297967694371/31029703256250000000000000000,true
5189,519958673843/99295050420000000,true
5192,10408902579191715931937222551/1241188130250000000000000000000000,true
5195,60677260343368558962719/8274587535000000000000000000,true
5198,1791570021097/496475252100000000,true
5201,2371368610206807247005196691/198590100840000000000000000000000,true
5204,662890431832973558941633/41372937675000000000000000000,true
5207,352913202883/124118813025000000,true
5210,80826368300516010132116347003/4964752521000000000000000000000000,true
5213,47858244419991652077329/8274587535000000000000000000,true
5216,1837665317333/496475252100000000,true
5219,2429005572366731966718063691/620594065125000000000000000000000,true
5222,330989086602773637441359/62059406512500000000000000000,true
5225,1551089034619/496475252100000000,true
5228,10808343680875063319197710041/827458753500000000000000000000000,true
5231,81367769164623377549311/10343234418750000000000000000,true
5234,250753900919/82745875350000000,true
5237,275756952169830469245025357/38787129070312500000000000000000,true
5240,56660201729752858280177/3447744806250000000000000000,true
5243,56425751363/15514851628125000,true
5246,21287298170687764403485472429/2482376260500000000000000000000000,true
5249,5986833598056691709593/1292904302343750000000000000,true
5252,1447126907593/496475252100000000,true
5255,29747669441890521052145591909/1241188130250000000000000000000000,true
5258,268230724660009894708847/20686468837500000000000000000,true
5261,117680367139/62059406512500000,true
5264,10245418787715855105215976583/330983501400000000000000000000000,true
5267,1080107882020113645377429/124118813025000000000000000000,true
5270,493169949253/82745875350000000,true
5273,26125859207934854582250256297/4964752521000000000000000000000000,true
5276,193304123386347099283109/31029703256250000000000000000,true
5279,101246276149/24823762605000000,true
5282,25730317810046450333349926827/2482376260500000000000000000000000,true
5285,94962717589223915943209/3878712907031250000000000000,true
5288,108257340139/55163916900000000,true
5291,32313302719563746275100346013/1654917507000000000000000000000000,true
5294,234999998030082934050139/41372937675000000000000000000,true
5297,908268466883/248237626050000000,true
5300,30708182064414674653619398259/4964752521000000000000000000000000,true
5303,678466419348825634968127/124118813025000000000000000000,true
5306,526314890579/248237626050000000,true
5309,92887030931485660027364191727/4964752521000000000000000000000000,true
5312,14629197871660434172537/1379097922500000000000000000,true
5315,11961314303/6895489612500000,true
5318,14249200225132060164062206763/1654917507000000000000000000000000,true
5321,156604587133104803227481/15514851628125000000000000000,true
5324,701536352927/165491750700000000,true
5327,201742200681190109045214439/36775944600000000000000000000000,true
5330,1043519536935366898109251/124118813025000000000000000000,true
5333,110005930969/55163916900000000,true
5336,10415586895673794350548105861/620594065125000000000000000000000,true
5339,199261536238880778762727/15514851628125000000000000000,true
5342,112340080729/55163916900000000,true
5345,5049930585681685376746366753/183879723000000000000000000000000,true
5348,125419303745657215359811/12411881302500000000000000000,true
5351,802359680063/124118813025000000,true
5354,17896478200421303365395001363/1654917507000000000000000000000000,true
5357,106062659354748737694629/13790979225000000000000000000,true
5360,533808103709/124118813025000000,true
5363,40364636806329335381491396463/4964752521000000000000000000000000,true
5366,60595291999336013348567/1939356453515625000000000000,true
5369,419103672061/165491750700000000,true
5372,66572030997967416387108659011/4964752521000000000000000000000000,true
5375,117425497673926226274071/15514851628125000000000000000,true
5378,8129893859/1985901008400000,true
5381,16490397144739862660669178211/4964752521000000000000000000000000,true
5384,244364091457444738864657/24823762605000000000000000000,true
5387,1570407881773/496475252100000000,true
5390,14465237560493635189943038367/1241188130250000000000000000000000,true
5393,133627148666534437301189/15514851628125000000000000000,true
5396,273905153521/99295050420000000,true
5399,2103416686625303816973274309/330983501400000000000000000000000,true
5402,65733687230807257507801/5171617209375000000000000000,true
5405,1842735394181/248237626050000000,true
5408,11404337686814464076063622253/2482376260500000000000000000000000,true
5411,86785157436617082966503/12411881302500000000000000000,true
5414,900082087723/496475252100000000,true
5417,89332905018019033419413111261/4964752521000000000000000000000000,true
5420,134247140142767093229221/15514851628125000000000000000,true
5423,616966121/258580860468750,true
5426,26015235401073063050347774141/2482376260500000000000000000000000,true
5429,133124988447890805036503/20686468837500000000000000000,true
5432,836030080123/165491750700000000,true
5435,35810648303297681410942943611/4964752521000000000000000000000000,true
5438,26475757853696267824679/3102970325625000000000000000,true
5441,1642079986283/496475252100000000,true
5444,4801117238261007101398193203/620594065125000000000000000000000,true
5447,32802639334871135205923/2068646883750000000000000000,true
5450,4162323709/1939356453515625,true
5453,21930298272201459981357675979/827458753500000000000000000000000,true
5456,274164676987051574226251/41372937675000000000000000000,true
5459,1267884315661/165491750700000000,true
5462,9515345725511863718275804187/2482376260500000000000000000000000,true
5465,903339053632340473258139/124118813025000000000000000000,true
5468,1515229623563/496475252100000000,true
5471,77667596063332702168668051781/4964752521000000000000000000000000,true
5474,604839294522269577121667/62059406512500000000000000000,true
5477,267477982393/124118813025000000,true
5480,4965160762336586188856700893/330983501400000000000000000000000,true
5483,163774928847961264176697/13790979225000000000000000000,true
5486,85916881483/27581958450000000,true
5489,25273688011051734584660695493/4964752521000000000000000000000000,true
5492,152907128137478434276097/31029703256250000000000000000,true
5495,944169337553/496475252100000000,true
5498,1220281325685973300775921017/68954896125000000000000000000000,true
5501,1364101045232056111224211/124118813025000000000000000000,true
5504,165426649981/99295050420000000,true
5507,87831325941484294521704087959/4964752521000000000000000000000000,true
5510,508456709340764181876757/62059406512500000000000000000,true
5513,1125439478171/99295050420000000,true
5516,5458333478665140939909701627/1241188130250000000000000000000000,true
5519,1137707858900181632812633/124118813025000000000000000000,true
5522,24409574009/8274587535000000,true
5525,28278640777651573013155157329/2482376260500000000000000000000000,true
5528,2774839547964028863110443/124118813025000000000000000000,true
5531,29673110431/15514851628125000,true
5534,80013781458917977594888386961/4964752521000000000000000000000000,true
5537,746157597363320179817923/124118813025000000000000000000,true
5540,233812216663/82745875350000000,true
5543,7178073324761376729501430477/1654917507000000000000000000000000,true
5546,222808197851664456879367/31029703256250000000000000000,true
5549,164199363389/82745875350000000,true
5552,12358589442196572102731796571/992950504200000000000000000000000,true
5555,1213785077032065085942657/124118813025000000000000000000,true
5558,1242998414221/496475252100000000,true
5561,68051782673271566117762389/7943604033600000000000000000000,true
5564,154886682198593878336669/20686468837500000000000000000,true
5567,774655221989/248237626050000000,true
5570,3538157869981736186497356737/620594065125000000000000000000000,true
5573,59232104239743292716397/8274587535000000000000000000,true
5576,310326227959/165491750700000000,true
5579,3879520787745595906409398513/330983501400000000000000000000000,true
5582,962791879917731158698719/62059406512500000000000000000,true
5585,356940159667/165491750700000000,true
5588,4792539917621512832089397221/330983501400000000000000000000000,true
5591,63462672371995555071013/7757425814062500000000000000,true
5594,4206167047067/496475252100000000,true
5597,8513130067695727783582737007/1241188130250000000000000000000000,true
5600,80474596452751947847907/13790979225000000000000000000,true
5603,427349320999/124118813025000000,true
5606,14538497661506011976471966359/1654917507000000000000000000000000,true
5609,588537928708157514242629/31029703256250000000000000000,true
5612,945755827171/496475252100000000,true
5615,11136438759353300182942817611/620594065125000000000000000000000,true
5618,42679449714645134797073/7757425814062500000000000000,true
5621,624492455327/165491750700000000,true
5624,6762506833078543296710190019/1654917507000000000000000000000000,true
5627,118395579314436174342479/12411881302500000000000000000,true
5630,95248381309/16549175070000000,true
5633,41917812542507996130614012861/4964752521000000000000000000000000,true
5636,685758989365441482460957/62059406512500000000000000000,true
5639,517938028813/248237626050000000,true
5642,6648045032988294281407186187/992950504200000000000000000000000,true
5645,1313196942008361687788407/124118813025000000000000000000,true
5648,2254830949127/496475252100000000,true
5651,287298219914194570256969633/45969930750000000000000000000000,true
5654,842526502514947174044529/124118813025000000000000000000,true
5657,28308992299/9193986150000000,true
5660,54136830008007226101857754877/4964752521000000000000000000000000,true
5663,1094137256558820944248369/124118813025000000000000000000,true
5666,1397603549/794360403360000,true
5669,69964587562929608193408208181/4964752521000000000000000000000000,true
5672,471563382303946569480323/62059406512500000000000000000,true
5675,2039531466391/496475252100000000,true
5678,11614242918903148416211651951/2482376260500000000000000000000000,true
5681,130267462367138369256803/20686468837500000000000000000,true
5684,2784335151689/496475252100000000,true
5687,10167214197164022065640846857/1241188130250000000000000000000000,true
5690,3229979302100853311385281/124118813025000000000000000000,true
5693,172719610763/82745875350000000,true
5696,33935896495647471978480370441/1241188130250000000000000000000000,true
5699,79677814167740077106711/10343234418750000000000000000,true
5702,357524363933/124118813025000000,true
5705,1493261201565903797365998601/413729376750000000000000000000000,true
5708,489935675711756180174377/62059406512500000000000000000,true
5711,374168060383/124118813025000000,true
5714,213772491441601734503885863/17238724031250000000000000000000,true
5717,102514903258432486010279/12411881302500000000000000000,true
5720,21530831209/7757425814062500,true
5723,8781689884147889029377014503/992950504200000000000000000000000,true
5726,179844701915318873492959/13790979225000000000000000000,true
5729,5590962349/1985901008400000,true
5732,29899226068807475700767638601/4964752521000000000000000000000000,true
5735,61948898302737177382819/10343234418750000000000000000,true
5738,937694340139/496475252100000000,true
5741,36226808513529566333112552649/827458753500000000000000000000000,true
5744,1492642765294460947971163/124118813025000000000000000000,true
5747,667415056/387871290703125,true
5750,109830145223963471713433073007/4964752521000000000000000000000000,true
5753,21357460156513875222329/2068646883750000000000000000,true
5756,189782398757/33098350140000000,true
5759,25578344509108855498786264033/4964752521000000000000000000000000,true
5762,678640616657685874212439/124118813025000000000000000000,true
5765,246736212677/82745875350000000,true
5768,45183069545767149423547675223/4964752521000000000000000000000000,true
5771,283457590143017411574487/15514851628125000000000000000,true
5774,87974641913/55163916900000000,true
5777,133560968901121937385382501417/4964752521000000000000000000000000,true
5780,24342956555440738650421/3102970325625000000000000000,true
5783,156719071997/41372937675000000,true
5786,4979988225178677501851036251/1241188130250000000000000000000000,true
5789,10509326756499962499887/2068646883750000000000000000,true
5792,249640921877/82745875350000000,true
5795,26125779206955173050665487727/1654917507000000000000000000000000,true
5798,1277711720798579310021019/124118813025000000000000000000,true
5801,7630951057/3447744806250000,true
5804,6454860129782384659091492539/827458753500000000000000000000000,true
5807,1259803034113579804100489/124118813025000000000000000000,true
5810,785967135509/165491750700000000,true
5813,5068453127209516961552521261/992950504200000000000000000000000,true
5816,47448998533460068855169/8274587535000000000000000000,true
5819,165237471761/55163916900000000,true
5822,51718916569029632949330142703/2482376260500000000000000000000000,true
5825,163961629773843353223007/13790979225000000000000000000,true
5828,795904940581/496475252100000000,true
5831,8892267184865033031480269249/275819584500000000000000000000000,true
5834,345655756833705970225337/31029703256250000000000000000,true
5837,238853166991/62059406512500000,true
5840,6789517086126097264470448429/620594065125000000000000000000000,true
5843,88694495002530521642081/12411881302500000000000000000,true
5846,328714480849/124118813025000000,true
5849,10292848420860610001996820887/1241188130250000000000000000000000,true
5852,402697160289569729680961/31029703256250000000000000000,true
5855,1010163229499/496475252100000000,true
5858,975204138912837240644298013/62059406512500000000000000000000,true
5861,23164302041717579115067/2585808604687500000000000000,true
5864,237064366429/99295050420000000,true
5867,577831641895433514147483169/165491750700000000000000000000000,true
5870,109210909433427580311493/13790979225000000000000000000,true
5873,1285381556471/496475252100000000,true
5876,1891211958475700194623454523/206864688375000000000000000000000,true
5879,593298169450516971831577/62059406512500000000000000000,true
5882,244601928187/124118813025000000,true
5885,3177357885205133706400441121/620594065125000000000000000000000,true
5888,2362139695888313153243/258580860468750000000000000,true
5891,2320332715213/496475252100000000,true
5894,6133974512533837777625664077/827458753500000000000000000000000,true
5897,975516693030346555357363/124118813025000000000000000000,true
5900,913152290407/496475252100000000,true
5903,76526084109717616427275914359/4964752521000000000000000000000000,true
5906,12726091687423893191461/1532331025000000000000000000,true
5909,72428843017/31029703256250000,true
5912,58094685137273709208518298561/4964752521000000000000000000000000,true
5915,154431826430046706597903/20686468837500000000000000000,true
5918,672765712621/165491750700000000,true
5921,32854717468869855244160698147/2482376260500000000000000000000000,true
5924,104159132156441929117669/13790979225000000000000000000,true
5927,1692957914669/248237626050000000,true
5930,12939511661975313020913749611/1241188130250000000000000000000000,true
5933,87172631465625868200737/7757425814062500000000000000,true
5936,1318310437243/496475252100000000,true
5939,89709371358885513802313458289/4964752521000000000000000000000000,true
5942,15425061498295448099777/2585808604687500000000000000,true
5945,91192120867/24823762605000000,true
5948,9679208590992456715892502467/2482376260500000000000000000000000,true
5951,125127436271896547155829/24823762605000000000000000000,true
5954,1382735897729/496475252100000000,true
5957,9099067002568793612281240153/992950504200000000000000000000000,true
5960,942758298174093113599441/124118813025000000000000000000,true
5963,20458654291/4964752521000000,true
5966,35263839429192296696790073687/4964752521000000000000000000000000,true
5969,1811933775124077551634209/124118813025000000000000000000,true
5972,15499226081/5516391690000000,true
5975,4719095339496677629064671781/827458753500000000000000000000000,true
5978,238638695674338580522309/41372937675000000000000000000,true
5981,12464829971/5516391690000000,true
5984,73206439554952957471807517/3971802016800000000000000000000,true
5987,174150840095091367595257/12411881302500000000000000000,true
5990,318037250513/165491750700000000,true
5993,116903213973271578714256800053/4964752521000000000000000000000000,true
5996,1225943917696409238710849/124118813025000000000000000000,true
5999,3843163558901/496475252100000000,true
6002,4359058926539545408247969251/620594065125000000000000000000000,true
6005,278589221665716172572497/41372937675000000000000000000,true
6008,6301874939/1985901008400000,true
6011,67122157445463678944524085863/4964752521000000000000000000000000,true
6014,4578547389788151648380891/124118813025000000000000000000,true
6017,441071310433/248237626050000000,true
6020,2925180400537482204415977481/137909792250000000000000000000000,true
6023,681254831510961624128501/124118813025000000000000000000,true
6026,95797350251/27581958450000000,true
6029,8710227541635184424921753267/1654917507000000000000000000000000,true
6032,251095521592547578522117/41372937675000000000000000000,true
6035,44410327487/19859010084000000,true
6038,6987285143558838420280810211/248237626050000000000000000000000,true
6041,1278778766103592653254143/124118813025000000000000000000,true
6044,878752327009/496475252100000000,true
6047,57169350634363387305368559043/4964752521000000000000000000000000,true
6050,586558925018727608321077/62059406512500000000000000000,true
6053,399892739509/62059406512500000,true
6056,2633135450863309323680759219/551639169000000000000000000000000,true
6059,9146886416546032109129/1532331025000000000000000000,true
6062,16822589587/8274587535000000,true
6065,8122360173161949032050915711/620594065125000000000000000000000,true
6068,344638613013508226941703/24823762605000000000000000000,true
6071,144863772691/49647525210000000,true
6074,119648004865722476770805637629/4964752521000000000000000000000000,true
6077,111537424521783398514641/13790979225000000000000000000,true
6080,1341218010047/248237626050000000,true
6083,10698842904737044239766640639/992950504200000000000000000000000,true
6086,208951827406964196968551/31029703256250000000000000000,true
6089,1423651887337/496475252100000000,true
6092,6214815075557529833402280727/620594065125000000000000000000000,true
6095,272311603332544606427969/12411881302500000000000000000,true
6098,294336854833/165491750700000000,true
6101,101242837886757511543267925671/4964752521000000000000000000000000,true
6104,230525640429830743288429/41372937675000000000000000000,true
6107,122344032497/41372937675000000,true
6110,6319176525560893688195227781/1654917507000000000000000000000000,true
6113,2142952983724077677335693/124118813025000000000000000000,true
6116,144865121801/31029703256250000,true
6119,4836626106543737728487010083/496475252100000000000000000000000,true
6122,265856639596375864707017/31029703256250000000000000000,true
6125,181775432893/82745875350000000,true
6128,179256394809481613817915571/25858086046875000000000000000000,true
6131,253186983390517217946697/20686468837500000000000000000,true
6134,745916232691/99295050420000000,true
6137,9927703667816069392640717209/2482376260500000000000000000000000,true
6140,39552418546682069219753/4137293767500000000000000000,true
6143,12329153909/6895489612500000,true
6146,268275936292546246483737829/16549175070000000000000000000000,true
6149,160519024581529956752099/15514851628125000000000000000,true
6152,299060355953/165491750700000000,true
6155,443659178974406339752129697/41372937675000000000000000000000,true
6158,368277097456892513257681/62059406512500000000000000000,true
6161,23291431631/5516391690000000,true
6164,931346907487060628129285053/155148516281250000000000000000000,true
6167,29013930640655360371169/5171617209375000000000000000,true
6170,202849760671/55163916900000000,true
6173,21528644005947616401306275321/2482376260500000000000000000000000,true
6176,407089198713341714224079/31029703256250000000000000000,true
6179,254423202653/124118813025000000,true
6182,13660408471914574296705272527/827458753500000000000000000000000,true
6185,392292464494653512802637/62059406512500000000000000000,true
6188,274597866811/55163916900000000,true
6191,6658420047134012100436407371/1654917507000000000000000000000000,true
6194,1099031290279192466055011/124118813025000000000000000000,true
6197,152747330597/62059406512500000,true
6200,3936307709211710176864369273/310297032562500000000000000000000,true
6203,567133797009725529690311/41372937675000000000000000000,true
6206,1205998346939/496475252100000000,true
6209,5804025368600179359200443411/620594065125000000000000000000000,true
6212,29710096451193096930011/1654917507000000000000000000,true
6215,921941214227/248237626050000000,true
6218,6808042556215493625689153629/992950504200000000000000000000000,true
6221,751293831796038542866873/124118813025000000000000000000,true
6224,20503030163/11032783380000000,true
6227,26859635415178996702448784373/1241188130250000000000000000000000,true
6230,59383773617051780076437/6205940651250000000000000000,true
6233,369199527527/248237626050000000,true
6236,74853012683122512267446767007/4964752521000000000000000000000000,true
6239,18990629623626405503027/1551485162812500000000000000,true
6242,3918652953683/496475252100000000,true
6245,8814164053773945585685302851/1654917507000000000000000000000000,true
6248,931937397157013865089839/124118813025000000000000000000,true
6251,404052130871/124118813025000000,true
6254,30514061965431274318582562227/1654917507000000000000000000000000,true
6257,2329777163627059243820407/124118813025000000000000000000,true
6260,15160927609/6129324100000000,true
6263,4427007172517089173647719603/310297032562500000000000000000000,true
6266,261979003951805294089363/41372937675000000000000000000,true
6269,1375223152343/496475252100000000,true
6272,386708949401752243766210147/82745875350000000000000000000000,true
6275,118980249927288841943473/15514851628125000000000000000,true
6278,102957057343/49647525210000000,true
6281,95774777105054193762507504911/4964752521000000000000000000000000,true
6284,292953749966580881723467/24823762605000000000000000000,true
6287,5382189031/2298496537500000,true
6290,3754010897015405368477402139/551639169000000000000000000000000,true
6293,128831325582797220287179/12411881302500000000000000000,true
6296,1760236015991/496475252100000000,true
6299,38420680388976401317855525687/4964752521000000000000000000000000,true
6302,143619659760025092851449/24823762605000000000000000000,true
6305,106999582079/55163916900000000,true
6308,63495125549720067983240553899/4964752521000000000000000000000000,true
6311,877628070677699791396993/41372937675000000000000000000,true
6314,47780555053/20686468837500000,true
6317,24147376775171421882992911997/1654917507000000000000000000000000,true
6320,136181894299894504879213/15514851628125000000000000000,true
6323,378919811899/62059406512500000,true
6326,30051192315512064267658036019/4964752521000000000000000000000000,true
6329,16069096898284556800481/3102970325625000000000000000,true
6332,26454706619/7757425814062500,true
6335,47820798563495982193861401113/4964752521000000000000000000000000,true
6338,11690589991833678354097/827458753500000000000000000,true
6341,27994818011/13790979225000000,true
6344,57043612091783852752273916443/4964752521000000000000000000000000,true
6347,414435517507008318071573/62059406512500000000000000000,true
6350,52929250601/19859010084000000,true
6353,8642136992396556679482192677/2482376260500000000000000000000000,true
6356,1984086079585648473993721/124118813025000000000000000000,true
6359,103142951651/31029703256250000,true
6362,1480632564398852158733396353/137909792250000000000000000000000,true
6365,108972353033802182763013/8274587535000000000000000000,true
6368,16201276343/9929505042000000,true
6371,31240478688986613567861908297/4964752521000000000000000000000000,true
6374,1180606972868629527530759/62059406512500000000000000000,true
6377,951797229379/248237626050000000,true
6380,152328238951602209533981311/30646620500000000000000000000000,true
6383,96495165517529061030637/13790979225000000000000000000,true
6386,1430662520527/496475252100000000,true
6389,3603728435051534360809599517/275819584500000000000000000000000,true
6392,1053331241127020470106459/124118813025000000000000000000,true
6395,209344131253/82745875350000000,true
6398,51109409426191051729320955079/4964752521000000000000000000000000,true
6401,360474741780857332544341/41372937675000000000000000000,true
6404,8323266217/2298496537500000,true
